station_name,city,state,timestamp,lat,lon,pollutant,pollutant_value
"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,2026-07-16 05:00:00,16.5150833,80.5181667,CO,61.0
"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,2026-07-16 05:00:00,16.5150833,80.5181667,NH3,3.0
"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,2026-07-16 05:00:00,16.5150833,80.5181667,NO2,32.0
"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,2026-07-16 05:00:00,16.5150833,80.5181667,O3,13.0
"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,2026-07-16 05:00:00,16.5150833,80.5181667,PM10,172.0
"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,2026-07-16 05:00:00,16.5150833,80.5181667,PM2.5,54.0
"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,2026-07-16 05:00:00,16.5150833,80.5181667,SO2,16.0
"Gulzarpet, Anantapur - APPCB",Anantapur,Andhra Pradesh,2026-07-16 05:00:00,14.675886,77.593027,CO,22.0
"Gulzarpet, Anantapur - APPCB",Anantapur,Andhra Pradesh,2026-07-16 05:00:00,14.675886,77.593027,NH3,3.0
"Gulzarpet, Anantapur - APPCB",Anantapur,Andhra Pradesh,2026-07-16 05:00:00,14.675886,77.593027,NO2,16.0
"Gulzarpet, Anantapur - APPCB",Anantapur,Andhra Pradesh,2026-07-16 05:00:00,14.675886,77.593027,O3,31.0
"Gulzarpet, Anantapur - APPCB",Anantapur,Andhra Pradesh,2026-07-16 05:00:00,14.675886,77.593027,PM10,76.0
"Gulzarpet, Anantapur - APPCB",Anantapur,Andhra Pradesh,2026-07-16 05:00:00,14.675886,77.593027,PM2.5,85.0
"Gulzarpet, Anantapur - APPCB",Anantapur,Andhra Pradesh,2026-07-16 05:00:00,14.675886,77.593027,SO2,11.0
"Gangineni Cheruvu, Chittoor - APPCB",Chittoor,Andhra Pradesh,2026-07-16 05:00:00,13.20488,79.097889,CO,21.0
"Gangineni Cheruvu, Chittoor - APPCB",Chittoor,Andhra Pradesh,2026-07-16 05:00:00,13.20488,79.097889,NH3,6.0
"Gangineni Cheruvu, Chittoor - APPCB",Chittoor,Andhra Pradesh,2026-07-16 05:00:00,13.20488,79.097889,NO2,31.0
"Gangineni Cheruvu, Chittoor - APPCB",Chittoor,Andhra Pradesh,2026-07-16 05:00:00,13.20488,79.097889,O3,39.0
"Gangineni Cheruvu, Chittoor - APPCB",Chittoor,Andhra Pradesh,2026-07-16 05:00:00,13.20488,79.097889,PM10,64.0
"Gangineni Cheruvu, Chittoor - APPCB",Chittoor,Andhra Pradesh,2026-07-16 05:00:00,13.20488,79.097889,PM2.5,70.0
"Gangineni Cheruvu, Chittoor - APPCB",Chittoor,Andhra Pradesh,2026-07-16 05:00:00,13.20488,79.097889,SO2,21.0
"District Court, Eluru - APPCB",Eluru,Andhra Pradesh,2026-07-16 05:00:00,16.711754,81.092095,CO,18.0
"District Court, Eluru - APPCB",Eluru,Andhra Pradesh,2026-07-16 05:00:00,16.711754,81.092095,NH3,4.0
"District Court, Eluru - APPCB",Eluru,Andhra Pradesh,2026-07-16 05:00:00,16.711754,81.092095,NO2,22.0
"District Court, Eluru - APPCB",Eluru,Andhra Pradesh,2026-07-16 05:00:00,16.711754,81.092095,O3,6.0
"District Court, Eluru - APPCB",Eluru,Andhra Pradesh,2026-07-16 05:00:00,16.711754,81.092095,PM10,49.0
"District Court, Eluru - APPCB",Eluru,Andhra Pradesh,2026-07-16 05:00:00,16.711754,81.092095,PM2.5,49.0
